IsPanel	Description	Gene	Lookup_Transcript	Reported_Transcript
1	cv6	CBFB	NM_022845.2	NM_022845
1	cv6	CBL	NM_005188.3	NM_005188
1	cv6	CBL	NM_005188.3	NM_005188
1	cv6	CCND1	NM_053056.2	NM_053056
1	cv6	CCND2	NM_001759.3	NM_001759
1	cv6	CCND3	NM_001760.3	NM_001760
1	cv6	CCNE1	NM_001238.2	NM_001238
1	cv6	CD274	NM_014143.3	NM_014143
1	cv6	CD276	NM_001024736.1	NM_001024736
1	cv6	CD79A	NM_001783.3	NM_001783
1	cv6	CD79B	NM_001039933.1	NM_001039933
1	cv6	CDC42	NM_001791.3	NM_001791
1	cv6	CDC73	NM_024529.4	NM_024529
1	cv6	CDH1	NM_004360.3	NM_004360
1	cv6	CDK12	NM_016507.2	NM_016507
1	cv6	CDK4	NM_000075.3	NM_000075
1	cv6	CDK6	NM_001145306.1	NM_001145306
1	cv6	CDK8	NM_001260.1	NM_001260
1	cv6	CDKN1A	NM_078467.2	NM_078467
1	cv6	CDKN1B	NM_004064.3	NM_004064
1	cv6	CDKN2A	NM_058195.3	NM_058195
1	cv6	CDKN2A	NM_000077.4	NM_000077
1	cv6	CDKN2Ap14ARF	NM_058195.3	NM_058195
1	cv6	CDKN2Ap16INK4A	NM_000077.4	NM_000077
1	cv6	CDKN2B	NM_004936.3	NM_004936
1	cv6	CDKN2C	NM_078626.2	NM_078626
1	cv6	CEBPA	NM_004364.3	NM_004364
1	cv6	CENPA	NM_001809.3	NM_001809
1	cv6	CHEK1	NM_001274.5	NM_001274
1	cv6	CHEK2	NM_007194.3	NM_007194
1	cv6	CIC	NM_015125.3	NM_015125
1	cv6	CREBBP	NM_004380.2	NM_004380
1	cv6	CRKL	NM_005207.3	NM_005207
1	cv6	CRLF2	NM_022148.2	NM_022148
1	cv6	CSDE1	NM_001242891.1	NM_001242891
1	cv6	CSF1R	NM_005211.3	NM_005211
1	cv6	CSF3R	NM_000760.3	NM_000760
1	cv6	CTCF	NM_006565.3	NM_006565
1	cv6	CTLA4	NM_005214.4	NM_005214
1	cv6	CTNNB1	NM_001904.3	NM_001904
1	cv6	CUL3	NM_003590.4	NM_003590
1	cv6	CXCR4	NM_003467.2	NM_003467
1	cv6	CYLD	NM_001042355.1	NM_001042355
1	cv6	CYSLTR2	NM_020377.2	NM_020377
1	cv6	DAXX	NM_001141970.1	NM_001141970
1	cv6	DCUN1D1	NM_020640.2	NM_020640
1	cv6	DDR2	NM_006182.2	NM_006182
1	cv6	DICER1	NM_030621.3	NM_030621
1	cv6	DIS3	NM_014953.3	NM_014953
1	cv6	DNAJB1	NM_006145.1	NM_006145
1	cv6	DNMT1	NM_001379.2	NM_001379
1	cv6	DNMT3A	NM_022552.4	NM_022552
1	cv6	DNMT3B	NM_006892.3	NM_006892
1	cv6	DOT1L	NM_032482.2	NM_032482
1	cv6	DROSHA	NM_013235.4	NM_013235
1	cv6	DUSP4	NM_001394.6	NM_001394
1	cv6	E2F3	NM_001949.4	NM_001949
1	cv6	EED	NM_003797.3	NM_003797
1	cv6	EGFL7	NM_201446.2	NM_201446
1	cv6	EGFR	NM_005228.3	NM_005228
1	cv6	EIF1AX	NM_001412.3	NM_001412
1	cv6	EIF4A2	NM_001967.3	NM_001967
1	cv6	EIF4E	NM_001130678.1	NM_001130678
1	cv6	ELF3	NM_004433.4	NM_004433
1	cv6	EP300	NM_001429.3	NM_001429
1	cv6	EPAS1	NM_001430.4	NM_001430
1	cv6	EPCAM	NM_002354.2	NM_002354
1	cv6	EPHA3	NM_005233.5	NM_005233
1	cv6	EPHA5	NM_004439.5	NM_004439
1	cv6	EPHA7	NM_004440.3	NM_004440
1	cv6	EPHB1	NM_004441.4	NM_004441
1	cv6	ERBB2	NM_004448.2	NM_004448
1	cv6	ERBB3	NM_001982.3	NM_001982
1	cv6	ERBB4	NM_005235.2	NM_005235
1	cv6	ERCC2	NM_000400.3	NM_000400
1	cv6	ERCC3	NM_000122.1	NM_000122
1	cv6	ERCC4	NM_005236.2	NM_005236
1	cv6	ERCC5	NM_000123.3	NM_000123
1	cv6	ERF	NM_006494.2	NM_006494
1	cv6	ERG	NM_182918.3	NM_182918
1	cv6	ERG	NM_004449.4	NM_004449
1	cv6	ERRFI1	NM_018948.3	NM_018948
1	cv6	ESR1	NM_001122740.1	NM_001122740
1	cv6	ETV1	NM_001163147.1	NM_001163147
1	cv6	ETV6	NM_001987.4	NM_001987
1	cv6	EZH1	NM_001991.3	NM_001991
1	cv6	EZH2	NM_004456.4	NM_004456
1	cv6	FAM175A	NM_139076.2	NM_139076
1	cv6	FAM46C	NM_017709.3	NM_017709
1	cv6	FAM58A	NM_152274.4	NM_152274
1	cv6	FANCA	NM_000135.2	NM_000135
1	cv6	FANCC	NM_000136.2	NM_000136
1	cv6	FAT1	NM_005245.3	NM_005245
1	cv6	FBXW7	NM_033632.3	NM_033632
1	cv6	FGF19	NM_005117.2	NM_005117
1	cv6	FGF3	NM_005247.2	NM_005247
1	cv6	FGF4	NM_002007.2	NM_002007
1	cv6	FGFR1	NM_001174067.1	NM_001174067
1	cv6	FGFR2	NM_000141.4	NM_000141
1	cv6	FGFR3	NM_000142.4	NM_000142
1	cv6	FGFR4	NM_213647.1	NM_213647
1	cv6	FH	NM_000143.3	NM_000143
1	cv6	FLCN	NM_144997.5	NM_144997
1	cv6	FLT1	NM_002019.4	NM_002019
1	cv6	FLT3	NM_004119.2	NM_004119
1	cv6	FLT4	NM_182925.4	NM_182925
1	cv6	FOXA1	NM_004496.3	NM_004496
1	cv6	FOXL2	NM_023067.3	NM_023067
1	cv6	FOXO1	NM_002015.3	NM_002015
1	cv6	FOXP1	NM_001244814.1	NM_001244814
1	cv6	FUBP1	NM_003902.3	NM_003902
1	cv6	FYN	NM_153047.3	NM_153047
1	cv6	GATA1	NM_002049.3	NM_002049
1	cv6	GATA2	NM_032638.4	NM_032638
1	cv6	GATA3	NM_002051.2	NM_002051
1	cv6	GLI1	NM_005269.2	NM_005269
1	cv6	GNA11	NM_002067.2	NM_002067
1	cv6	GNAQ	NM_002072.3	NM_002072
1	cv6	GNAS	NM_000516.4	NM_000516
1	cv6	GPS2	NM_004489.4	NM_004489
1	cv6	GREM1	NM_013372.6	NM_013372
1	cv6	GRIN2A	NM_001134407.1	NM_001134407
1	cv6	GSK3B	NM_002093.3	NM_002093
1	cv6	H3F3A	NM_002107.4	NM_002107
1	cv6	H3F3B	NM_005324.3	NM_005324
1	cv6	H3F3C	NM_001013699.2	NM_001013699
1	cv6	HGF	NM_000601.4	NM_000601
1	cv6	HIST1H1C	NM_005319.3	NM_005319
1	cv6	HIST1H2BD	NM_021063.3	NM_021063
1	cv6	HIST1H3A	NM_003529.2	NM_003529
1	cv6	HIST1H3B	NM_003537.3	NM_003537
1	cv6	HIST1H3C	NM_003531.2	NM_003531
1	cv6	HIST1H3D	NM_003530.4	NM_003530
1	cv6	HIST1H3E	NM_003532.2	NM_003532
1	cv6	HIST1H3F	NM_021018.2	NM_021018
1	cv6	HIST1H3G	NM_003534.2	NM_003534
1	cv6	HIST1H3H	NM_003536.2	NM_003536
1	cv6	HIST1H3I	NM_003533.2	NM_003533
1	cv6	HIST1H3J	NM_003535.2	NM_003535
1	cv6	HIST2H3C	NM_021059.2	NM_021059
1	cv6	HIST2H3D	NM_001123375.2	NM_001123375
1	cv6	HIST3H3	NM_003493.2	NM_003493
1	cv6	HLA-A	NM_001242758.1	NM_001242758
1	cv6	HLA-B	NM_005514.6	NM_005514
1	cv6	HNF1A	NM_000545.5	NM_000545
1	cv6	HOXB13	NM_006361.5	NM_006361
1	cv6	HRAS	NM_001130442.1	NM_001130442
1	cv6	ICOSLG	NM_015259.4	NM_015259
1	cv6	ID3	NM_002167.4	NM_002167
1	cv6	IDH1	NM_005896.2	NM_005896
1	cv6	IDH2	NM_002168.2	NM_002168
1	cv6	IFNGR1	NM_000416.2	NM_000416
1	cv6	IGF1	NM_001111285.1	NM_001111285
1	cv6	IGF1R	NM_000875.3	NM_000875
1	cv6	IGF2	NM_001127598.1	NM_001127598
1	cv6	IKBKE	NM_014002.3	NM_014002
1	cv6	IKZF1	ENST00000331340	NM_006060
1	cv6	IL10	NM_000572.2	NM_000572
1	cv6	IL7R	NM_002185.3	NM_002185
1	cv6	INHA	NM_002191.3	NM_002191
1	cv6	INHBA	NM_002192.2	NM_002192
1	cv6	INPP4A	NM_001134224.1	NM_001134224
1	cv6	INPP4B	NM_001101669.1	NM_001101669
1	cv6	INPPL1	NM_001567.3	NM_001567
1	cv6	INSR	NM_000208.2	NM_000208
1	cv6	IRF4	NM_002460.3	NM_002460
1	cv6	IRS1	NM_005544.2	NM_005544
1	cv6	IRS2	NM_003749.2	NM_003749
1	cv6	JAK1	NM_002227.2	NM_002227
1	cv6	JAK2	NM_004972.3	NM_004972
1	cv6	JAK3	NM_000215.3	NM_000215
1	cv6	JUN	NM_002228.3	NM_002228
1	cv6	KDM5A	NM_001042603.1	NM_001042603
1	cv6	KDM5C	NM_004187.3	NM_004187
1	cv6	KDM6A	NM_021140.2	NM_021140
1	cv6	KDR	NM_002253.2	NM_002253
1	cv6	KEAP1	NM_203500.1	NM_203500
1	cv6	KIT	NM_000222.2	NM_000222
1	cv6	KLF4	NM_004235.4	NM_004235
1	cv6	KNSTRN	NM_033286.3	NM_033286
1	cv6	KRAS	NM_033360.2	NM_033360
1	cv6	LATS1	NM_004690.3	NM_004690
1	cv6	LATS2	NM_014572.2	NM_014572
1	cv6	LMO1	NM_002315.2	NM_002315
1	cv6	LYN	NM_002350.3	NM_002350
1	cv6	MALT1	NM_006785.3	NM_006785
1	cv6	MAP2K1	NM_002755.3	NM_002755
1	cv6	MAP2K2	NM_030662.3	NM_030662
1	cv6	MAP2K4	NM_003010.3	NM_003010
1	cv6	MAP3K1	NM_005921.1	NM_005921
1	cv6	MAP3K13	NM_004721.4	NM_004721
1	cv6	MAP3K14	NM_003954.3	NM_003954
1	cv6	MAPK1	NM_002745.4	NM_002745
1	cv6	MAPK3	NM_002746.2	NM_002746
1	cv6	MAPKAP1	NM_001006617.1	NM_001006617
1	cv6	MAX	NM_002382.4	NM_002382
1	cv6	MCL1	NM_021960.4	NM_021960
1	cv6	MDC1	NM_014641.2	NM_014641
1	cv6	MDM2	NM_002392.5	NM_002392
1	cv6	MDM4	NM_002393.4	NM_002393
1	cv6	MED12	NM_005120.2	NM_005120
1	cv6	MEF2B	NM_001145785.1	NM_001145785
1	cv6	MEN1	NM_000244.3	NM_000244
1	cv6	MET	NM_000245.2	NM_000245
1	cv6	MGA	NM_001164273.1	NM_001164273
1	cv6	MITF	NM_198159.2	NM_198159
1	cv6	MLH1	NM_000249.3	NM_000249
1	cv6	MPL	NM_005373.2	NM_005373
1	cv6	MRE11A	NM_005591.3	NM_005591
1	cv6	MSH2	NM_000251.2	NM_000251
1	cv6	MSH3	NM_002439.4	NM_002439
1	cv6	MSH6	NM_000179.2	NM_000179
1	cv6	MSI1	NM_002442.3	NM_002442
1	cv6	MSI2	NM_138962.2	NM_138962
1	cv6	MST1	NM_020998.3	NM_020998
1	cv6	MST1R	NM_002447.2	NM_002447
1	cv6	MTOR	NM_004958.3	NM_004958
1	cv6	MUTYH	NM_001128425.1	NM_001128425
1	cv6	MYC	NM_002467.4	NM_002467
1	cv6	MYCN	NM_005378.4	NM_005378
1	cv6	MYD88	NM_002468.4	NM_002468
1	cv6	MYOD1	NM_002478.4	NM_002478
1	cv6	NBN	NM_002485.4	NM_002485
1	cv6	NCOA3	NM_181659.2	NM_181659
1	cv6	NCOR1	NM_006311.3	NM_006311
1	cv6	NEGR1	NM_173808.2	NM_173808
1	cv6	NF1	NM_001042492.2	NM_001042492
1	cv6	NF2	NM_000268.3	NM_000268
1	cv6	NFE2L2	NM_006164.4	NM_006164
1	cv6	NFKBIA	NM_020529.2	NM_020529
1	cv6	NKX2-1	NM_001079668.2	NM_001079668
1	cv6	NKX3-1	NM_006167.3	NM_006167
1	cv6	NOTCH1	NM_017617.3	NM_017617
1	cv6	NOTCH2	NM_024408.3	NM_024408
1	cv6	NOTCH3	NM_000435.2	NM_000435
1	cv6	NOTCH4	NM_004557.3	NM_004557
1	cv6	NPM1	NM_002520.6	NM_002520
1	cv6	NRAS	NM_002524.4	NM_002524
1	cv6	NSD1	NM_022455.4	NM_022455
1	cv6	NTHL1	NM_002528.5	NM_002528
1	cv6	NTRK1	NM_002529.3	NM_002529
1	cv6	NTRK2	NM_006180.3	NM_006180
1	cv6	NTRK3	NM_001012338.2	NM_001012338
1	cv6	NUF2	NM_031423.3	NM_031423
1	cv6	NUP93	NM_014669.4	NM_014669
1	cv6	PAK1	NM_002576.4	NM_002576
1	cv6	PAK7	NM_177990.2	NM_177990
1	cv6	PALB2	NM_024675.3	NM_024675
1	cv6	PARK2	NM_004562.2	NM_004562
1	cv6	PARP1	NM_001618.3	NM_001618
1	cv6	PAX5	NM_016734.2	NM_016734
1	cv6	PBRM1	NM_018313.4	NM_018313
1	cv6	PDCD1	NM_005018.2	NM_005018
1	cv6	PDCD1LG2	NM_025239.3	NM_025239
1	cv6	PDGFRA	NM_006206.4	NM_006206
1	cv6	PDGFRB	NM_002609.3	NM_002609
1	cv6	PDPK1	NM_002613.4	NM_002613
1	cv6	PGR	NM_000926.4	NM_000926
1	cv6	PHOX2B	NM_003924.3	NM_003924
1	cv6	PIK3C2G	NM_004570.4	NM_004570
1	cv6	PIK3C3	NM_002647.2	NM_002647
1	cv6	PIK3CA	NM_006218.2	NM_006218
1	cv6	PIK3CB	NM_006219.2	NM_006219
1	cv6	PIK3CD	NM_005026.3	NM_005026
1	cv6	PIK3CG	NM_002649.2	NM_002649
1	cv6	PIK3R1	NM_181523.2	NM_181523
1	cv6	PIK3R2	NM_005027.3	NM_005027
1	cv6	PIK3R3	NM_003629.3	NM_003629
1	cv6	PIM1	NM_002648.3	NM_002648
1	cv6	PLCG2	NM_002661.3	NM_002661
1	cv6	PLK2	NM_006622.3	NM_006622
1	cv6	PMAIP1	NM_021127.2	NM_021127
1	cv6	PMS1	NM_000534.4	NM_000534
1	cv6	PMS2	NM_000535.5	NM_000535
1	cv6	PNRC1	NM_006813.2	NM_006813
1	cv6	POLD1	NM_002691.3	NM_002691
1	cv6	POLE	NM_006231.2	NM_006231
1	cv6	PPARG	NM_015869.4	NM_015869
1	cv6	PPM1D	NM_003620.3	NM_003620
1	cv6	PPP2R1A	NM_014225.5	NM_014225
1	cv6	PPP4R2	NM_174907.2	NM_174907
1	cv6	PPP6C	NM_002721.4	NM_002721
1	cv6	PRDM1	NM_001198.3	NM_001198
1	cv6	PRDM14	NM_024504.3	NM_024504
1	cv6	PREX2	NM_024870.2	NM_024870
1	cv6	PRKAR1A	NM_212471.2	NM_212471
1	cv6	PRKCI	NM_002740.5	NM_002740
1	cv6	PRKD1	NM_002742.2	NM_002742
1	cv6	PTCH1	NM_000264.3	NM_000264
1	cv6	PTEN	NM_000314.4	NM_000314
1	cv6	PTP4A1	NM_003463.4	NM_003463
1	cv6	PTPN11	NM_002834.3	NM_002834
1	cv6	PTPRD	NM_002839.3	NM_002839
1	cv6	PTPRS	NM_002850.3	NM_002850
1	cv6	PTPRT	NM_133170.3	NM_133170
1	cv6	RAB35	NM_006861.6	NM_006861
1	cv6	RAC1	NM_018890.3	NM_018890
1	cv6	RAC2	NM_002872.4	NM_002872
1	cv6	RAD21	NM_006265.2	NM_006265
1	cv6	RAD50	NM_005732.3	NM_005732
1	cv6	RAD51	NM_002875.4	NM_002875
1	cv6	RAD51B	NM_133509.3	NM_133509
1	cv6	RAD51C	NM_058216.2	NM_058216
1	cv6	RAD51D	NM_133629.2	NM_133629
1	cv6	RAD52	NM_134424.2	NM_134424
1	cv6	RAD54L	NM_001142548.1	NM_001142548
1	cv6	RAF1	NM_002880.3	NM_002880
1	cv6	RARA	NM_000964.3	NM_000964
1	cv6	RASA1	NM_002890.2	NM_002890
1	cv6	RB1	NM_000321.2	NM_000321
1	cv6	RBM10	NM_001204468.1	NM_001204468
1	cv6	RECQL	NM_032941.2	NM_032941
1	cv6	RECQL4	ENST00000428558.2	NM_004260
1	cv6	REL	NM_002908.2	NM_002908
1	cv6	RET	NM_020975.4	NM_020975
1	cv6	RFWD2	NM_022457.5	NM_022457
1	cv6	RHEB	NM_005614.3	NM_005614
1	cv6	RHOA	NM_001664.2	NM_001664
1	cv6	RICTOR	NM_152756.3	NM_152756
1	cv6	RIT1	NM_006912.5	NM_006912
1	cv6	RNF43	NM_017763.4	NM_017763
1	cv6	ROS1	NM_002944.2	NM_002944
1	cv6	RPS6KA4	NM_003942.2	NM_003942
1	cv6	RPS6KB2	NM_003952.2	NM_003952
1	cv6	RPTOR	NM_020761.2	NM_020761
1	cv6	RRAGC	NM_022157.3	NM_022157
1	cv6	RRAS	NM_006270.3	NM_006270
1	cv6	RRAS2	NM_012250.5	NM_012250
1	cv6	RTEL1	NM_032957.4	NM_032957
1	cv6	RUNX1	NM_001754.4	NM_001754
1	cv6	RXRA	NM_002957.4	NM_002957
1	cv6	RYBP	NM_012234.5	NM_012234
1	cv6	SDHA	NM_004168.2	NM_004168
1	cv6	SDHAF2	NM_017841.2	NM_017841
1	cv6	SDHB	NM_003000.2	NM_003000
1	cv6	SDHC	NM_003001.3	NM_003001
1	cv6	SDHD	NM_003002.3	NM_003002
1	cv6	SESN1	NM_014454.2	NM_014454
1	cv6	SESN2	NM_031459.4	NM_031459
1	cv6	SESN3	NM_144665.3	NM_144665
1	cv6	SETD2	NM_014159.6	NM_014159
1	cv6	SETD8	NM_020382.3	NM_020382
1	cv6	SF3B1	NM_012433.2	NM_012433
1	cv6	SH2B3	NM_005475.2	NM_005475
1	cv6	SH2D1A	NM_002351.4	NM_002351
1	cv6	SHOC2	NM_007373.3	NM_007373
1	cv6	SHQ1	NM_018130.2	NM_018130
1	cv6	SLX4	NM_032444.2	NM_032444
1	cv6	SMAD2	NM_001003652.3	NM_001003652
1	cv6	SMAD3	NM_005902.3	NM_005902
1	cv6	SMAD4	NM_005359.5	NM_005359
1	cv6	SMARCA4	NM_003072.3	NM_003072
1	cv6	SMARCB1	NM_003073.3	NM_003073
1	cv6	SMARCD1	NM_003076.4	NM_003076
1	cv6	SMO	NM_005631.4	NM_005631
1	cv6	SMYD3	NM_001167740.1	NM_001167740
1	cv6	SOCS1	NM_003745.1	NM_003745
1	cv6	SOS1	NM_005633.3	NM_005633
1	cv6	SOX17	NM_022454.3	NM_022454
1	cv6	SOX2	NM_003106.3	NM_003106
1	cv6	SOX9	NM_000346.3	NM_000346
1	cv6	SPEN	NM_015001.2	NM_015001
1	cv6	SPOP	NM_001007228.1	NM_001007228
1	cv6	SPRED1	NM_152594.2	NM_152594
1	cv6	SRC	NM_198291.2	NM_198291
1	cv6	SRSF2	NM_003016.4	NM_003016
1	cv6	STAG2	NM_001042749.1	NM_001042749
1	cv6	STAT3	NM_139276.2	NM_139276
1	cv6	STAT5A	NM_003152.3	NM_003152
1	cv6	STAT5B	NM_012448.3	NM_012448
1	cv6	STK11	NM_000455.4	NM_000455
1	cv6	STK19	NM_004197.1	NM_004197
1	cv6	STK40	NM_032017.1	NM_032017
1	cv6	SUFU	NM_016169.3	NM_016169
1	cv6	SUZ12	NM_015355.2	NM_015355
1	cv6	SYK	NM_003177.5	NM_003177
1	cv6	TAP1	NM_000593.5	NM_000593
1	cv6	TAP2	NM_018833.2	NM_018833
1	cv6	TBX3	NM_016569.3	NM_016569
1	cv6	TCEB1	NM_005648.3	NM_005648
1	cv6	TCF3	NM_001136139.2	NM_001136139
1	cv6	TCF7L2	NM_001146274.1	NM_001146274
1	cv6	TEK	NM_000459.3	NM_000459
1	cv6	TERT	NM_198253.2	NM_198253
1	cv6	TET1	NM_030625.2	NM_030625
1	cv6	TET2	NM_001127208.2	NM_001127208
1	cv6	TGFBR1	NM_004612.2	NM_004612
1	cv6	TGFBR2	NM_001024847.2	NM_001024847
1	cv6	TMEM127	NM_001193304.2	NM_001193304
1	cv6	TMPRSS2	NM_001135099.1	NM_001135099
1	cv6	TNFAIP3	NM_006290.3	NM_006290
1	cv6	TNFRSF14	NM_003820.2	NM_003820
1	cv6	TOP1	NM_003286.2	NM_003286
1	cv6	TP53	NM_000546.5	NM_000546
1	cv6	TP53BP1	NM_001141980.1	NM_001141980
1	cv6	TP63	NM_003722.4	NM_003722
1	cv6	TRAF2	NM_021138.3	NM_021138
1	cv6	TRAF7	NM_032271.2	NM_032271
1	cv6	TSC1	NM_000368.4	NM_000368
1	cv6	TSC2	NM_000548.3	NM_000548
1	cv6	TSHR	NM_000369.2	NM_000369
1	cv6	U2AF1	NM_006758.2	NM_006758
1	cv6	UPF1	NM_002911.3	NM_002911
1	cv6	VEGFA	NM_001171623.1	NM_001171623
1	cv6	VHL	NM_000551.3	NM_000551
1	cv6	VTCN1	NM_024626.3	NM_024626
1	cv6	WHSC1	NM_001042424.2	NM_001042424
1	cv6	WHSC1L1	NM_023034.1	NM_023034
1	cv6	WT1	NM_024426.4	NM_024426
1	cv6	WWTR1	NM_001168280.1	NM_001168280
1	cv6	XIAP	NM_001167.3	NM_001167
1	cv6	XPO1	NM_003400.3	NM_003400
1	cv6	XRCC2	NM_005431.1	NM_005431
1	cv6	YAP1	NM_001130145.2	NM_001130145
1	cv6	YES1	NM_005433.3	NM_005433
1	cv6	ZFHX3	NM_006885.3	NM_006885
1	cv6	ZRSR2	NM_005089.3	NM_005089
1	cv6_sv	CD74	NM_001025159.2	NM_001025159
1	cv6_sv	EWSR1	NM_013986.3	NM_013986
1	cv6_sv	KCNAB2	NM_001199862.1	NM_001199862
1	cv6_sv	KMT2A	NM_001197104.1	NM_001197104
1	cv6_sv	KMT2B	NM_014727.1	NM_014727
1	cv6_sv	KMT2C	NM_170606.2	NM_170606
1	cv6_sv	KMT2D	NM_003482.3	NM_003482
1	cv6_sv	NAB2	NM_005967.3	NM_005967
1	cv6_sv	NUTM1	NM_175741.1	NM_175741
1	cv6_sv	PAX8	NM_003466.3	NM_003466
1	cv6_sv	RELA	NM_021975.3	NM_021975
1	cv6_sv	SZT2	NM_015284.3	NM_015284
1	cv6_sv	TFE3	NM_006521.4	NM_006521
0	NA	A1BG	NM_130786.3	NM_130786
0	NA	A1CF	NM_138932.2	NM_138932
0	NA	A2M	NM_000014.4	NM_000014
0	NA	A2ML1	NM_144670.4	NM_144670
0	NA	A4GALT	NM_017436.4	NM_017436
0	NA	A4GNT	NM_016161.2	NM_016161
0	NA	AAAS	NM_015665.5	NM_015665
0	NA	AACS	NM_023928.3	NM_023928
0	NA	AADAC	NM_001086.2	NM_001086
0	NA	AADACL2	NM_207365.3	NM_207365
0	NA	AADACL3	NM_001103170.1	NM_001103170
0	NA	AADACL4	NM_001013630.1	NM_001013630
0	NA	AADAT	NM_016228.3	NM_016228
0	NA	AAGAB	NM_024666.4	NM_024666
0	NA	AAK1	NM_014911.3	NM_014911
0	NA	AAMP	NM_001087.3	NM_001087
0	NA	AANAT	NM_001088.2	NM_001088
0	NA	AARS	NM_001605.2	NM_001605
0	NA	AARS2	NM_020745.3	NM_020745
0	NA	AASDH	NM_181806.2	NM_181806
0	NA	AASDHPPT	NM_015423.2	NM_015423
0	NA	AASS	NM_005763.3	NM_005763
0	NA	AATF	NM_012138.3	NM_012138
0	NA	AATK	NM_001080395.2	NM_001080395
0	NA	ABAT	NM_020686.5	NM_020686
0	NA	ABCA1	NM_005502.3	NM_005502
0	NA	ABCA10	NM_080282.3	NM_080282
0	NA	ABCA12	NM_173076.2	NM_173076
0	NA	ABCA13	NM_152701.3	NM_152701
0	NA	ABCA2	NM_001606.4	NM_001606
0	NA	ABCA3	NM_001089.2	NM_001089
0	NA	ABCA4	NM_000350.2	NM_000350
0	NA	ABCA5	NM_172232.2	NM_172232
0	NA	ABCA6	NM_080284.2	NM_080284
0	NA	ABCA7	NM_019112.3	NM_019112
0	NA	ABCA8	NM_007168.2	NM_007168
0	NA	ABCA9	NM_080283.3	NM_080283
0	NA	ABCB1	NM_000927.4	NM_000927
0	NA	ABCB10	NM_012089.2	NM_012089
0	NA	ABCB11	NM_003742.2	NM_003742
0	NA	ABCB4	NM_000443.3	NM_000443
0	NA	ABCB5	NM_001163941.1	NM_001163941
0	NA	ABCB6	NM_005689.2	NM_005689
0	NA	ABCB7	NM_004299.4	NM_004299
0	NA	ABCB8	NM_007188.3	NM_007188
0	NA	ABCB9	NM_019625.3	NM_019625
0	NA	ABCC1	NM_004996.3	NM_004996
0	NA	ABCC10	NM_001198934.1	NM_001198934
0	NA	ABCC11	NM_032583.3	NM_032583
0	NA	ABCC12	NM_033226.2	NM_033226
0	NA	ABCC2	NM_000392.3	NM_000392
0	NA	ABCC3	NM_003786.3	NM_003786
0	NA	ABCC4	NM_005845.3	NM_005845
0	NA	ABCC5	NM_005688.2	NM_005688
0	NA	ABCC6	NM_001171.5	NM_001171
0	NA	ABCC8	NM_000352.3	NM_000352
0	NA	ABCC9	NM_020297.2	NM_020297
0	NA	ABCD1	NM_000033.3	NM_000033
